o18,h2,d_excess
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-1.882,-9.905,5.151
-5.216,-34.381,7.347
-0.925,-0.275,7.125
-7.15,-44.141,13.059
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-7.661,-52.736,8.552
-7.717,-53.795,7.941
-10.703,-74.08,11.544
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-6.83,-42.4,12.24
-7.752,-58.322,3.694
-6.455,-45.69,5.95
-8.065,-51.262,13.258
-999.0,-999.0,-999.0
-4.202,-21.639,11.977
-6.506,-45.349,6.699
-4.957,-32.847,6.809
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-4.605,-34.95,1.89
-7.638,-56.718,4.386
-999.0,-999.0,-999.0
-5.551,-38.197,6.211
-6.781,-53.023,1.225
-6.456,-47.491,4.157
-6.366,-50.819,0.109
-10.318,-71.226,11.318
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
1.268,2.455,-7.689
-999.0,-999.0,-999.0
-3.633,-26.797,2.267
-8.127,-56.614,8.402
-3.974,-37.972,-6.18
-5.891,-44.357,2.771
-8.089,-58.608,6.104
-3.516,-28.441,-0.313
-4.308,-31.898,2.566
-4.756,-31.487,6.561
-4.387,-35.378,-0.282
-2.532,-13.565,6.691
-999.0,-999.0,-999.0
-0.703,-10.464,-4.84
-999.0,-999.0,-999.0
-10.139,-79.238,1.874
-6.279,-47.688,2.544
-9.73,-71.618,6.222
-3.911,-26.471,4.817
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-3.699,-22.789,6.803
-3.487,-22.295,5.601
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-4.797,-34.448,3.928
-7.841,-51.707,11.021
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-5.94,-40.459,7.061
-9.864,-66.377,12.535
-3.604,-21.483,7.349
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-7.828,-53.668,8.956
-5.288,-45.509,-3.205
-4.915,-36.545,2.775
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-3.727,-21.716,8.1
-1.691,-10.865,2.663
-7.946,-57.534,6.034
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-9.81,-66.4,12.08
-8.46,-57.239,10.441
-9.942,-69.288,10.248
-1.704,-18.895,-5.263
-3.783,-30.017,0.247
-5.946,-37.84,9.728
-3.775,-20.325,9.875
-4.46,-28.466,7.214
-5.795,-38.3,8.06
-3.824,-22.598,7.994
-4.594,-34.8,1.952
-6.565,-43.223,9.297
-10.72,-74.3,11.46
-5.889,-46.896,0.216
-3.77,-26.928,3.232
-3.283,-21.16,5.104
-6.466,-48.453,3.275
-5.229,-31.323,10.509
-4.058,-28.452,4.012
-0.648,-5.087,0.097
-4.361,-30.042,4.846
-4.0,-32.211,-0.211
-5.182,-34.567,6.889
-5.392,-35.604,7.532
-6.13,-49.833,-0.793
-3.706,-26.904,2.744
-4.88,-44.619,-5.579
-8.322,-63.534,3.042
1.522,3.862,-8.314
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
